symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
AAPL,Apple Inc.,178.85,-1.7254,-3.14,177.36,183.13,198.23,124.17,2813078069402,187.0868,160.0134,NASDAQ,97263524,55973159,182.13,181.99,5.89,30.37,2023-10-25T00:00:00.000+0000,15728700416,1691438401
ABNB,"Airbnb, Inc.",143.2,2.1617,3.03,138.79,144,154.95,81.91,90252511847,130.7073,114.483025,NASDAQ,3908996,6766248,142,140.17,3.02,47.42,2023-10-30T00:00:00.000+0000,630254971,1691438401
ADBE,Adobe Inc.,529.73,0.5409,2.85,523.52,532.58,552.94,274.73,241450934000,483.99,381.72095,NASDAQ,1727126,3940193,530,526.88,10.51,50.4,2023-09-13T00:00:00.000+0000,455800000,1691438401
ADI,"Analog Devices, Inc.",190.1,0.9291,1.75,188.89,191.37,200.1,133.48,95319558758,188.4338,177.44435,NASDAQ,1947640,3646080,190.7,188.35,7.04,27,2023-08-23T00:00:00.000+0000,501417984,1691438401
ADP,"Automatic Data Processing, Inc.",250.82,2.0589,5.06,246.38,251.015,274.92,201.46,103619512867,225.6782,229.74525,NASDAQ,1266805,1757895,246.89,245.76,7.82,32.07,2023-10-24T00:00:00.000+0000,413123008,1691438401
ADSK,"Autodesk, Inc.",203.715,1.0641,2.145,201.6,204.32,235.01,179.61,43539192090,207.456,203.4275,NASDAQ,835338,1538679,202.52,201.57,3.86,52.78,2023-08-23T00:00:00.000+0000,213726000,1691438401
AEP,"American Electric Power Company, Inc.",80.88,-0.4431,-0.36,80.75,81.97,105.6,80.3,41636296727,84.5768,89.9851,NASDAQ,3264715,3150103,81.5,81.24,3.85,21.01,2023-10-25T00:00:00.000+0000,514791008,1691438400
ALGN,"Align Technology, Inc.",361.25,-0.0526,-0.19,358.3,364.6,413.2,172.05,27641766250,333.7794,283.91464,NASDAQ,547880,757241,361.86,361.44,3.99,90.54,2023-10-25T00:00:00.000+0000,76517000,1691438401
AMAT,"Applied Materials, Inc.",150.38,3.2404,4.72,147.03,150.69,153.28,71.12,126281155063,140.1352,117.3106,NASDAQ,3894269,5995135,147.05,145.66,7.59,19.81,2023-08-17T00:00:00.000+0000,839747008,1691438401
AMD,"Advanced Micro Devices, Inc.",116.81,0.8548,0.99,115.49,119.0799,132.83,54.57,188106159076,116.0496,88.5356,NASDAQ,64608271,71765751,116.36,115.82,0.18,648.94,2023-10-30T00:00:00.000+0000,1610360064,1691438401
AMGN,Amgen Inc.,252.94,3.9707,9.66,243.455,253.82,296.67,211.71,135152673404,226.1294,246.93835,NASDAQ,4076529,2598017,244.25,243.28,14.72,17.18,2023-11-01T00:00:00.000+0000,534327008,1691438401
AMZN,"Amazon.com, Inc.",142.22,1.8987,2.65,138.95,142.54,146.57,81.43,1459234106204,127.8566,105.86745,NASDAQ,69793346,60539312,140.99,139.57,0.42,338.62,2023-10-25T00:00:00.000+0000,10260400128,1691438401
